<FileName>Galaxy 10 борот</FileName>
LGL KNITTING 10.72  Java Bit: 64 @169.254.0.1 NEWKYC003615@---	20260129_14-48-18
Revolution,10
Needles,2392
Consumption,172.72,g
Consumption,837728.9,cm
Product group
25 Tex,milang,395398.28,cm,47.2,%cm,98.85,g,57.24,%g,35.94,cm,av100ndl,
167 dTex,3603,234629.44,cm,28.01,%cm,39.19,g,22.69,%g,42.65,cm,av100ndl,
167 dTex,трилобал ,207701.27,cm,24.8,%cm,34.69,g,20.09,%g,37.76,cm,av100ndl,

 ,Feeder,Consumption,cm-in,Consumption,g-lb,Consumption 100 nl,cm-in,% Feeder g-lb,Count,Type
,1,8981.5,cm,2.25,g,37.55,cm,1.31,25 Tex,milang
,2,10565.51,cm,1.77,g,44.18,cm,1.03,167 dTex,3603
,3,8605.92,cm,2.16,g,35.98,cm,1.25,25 Tex,milang
,4,9030.5,cm,1.51,g,37.76,cm,0.88,167 dTex,трилобал 
,5,8654.91,cm,2.17,g,36.19,cm,1.26,25 Tex,milang
,6,10418.55,cm,1.74,g,43.56,cm,1.01,167 dTex,3603
,7,8524.26,cm,2.14,g,35.64,cm,1.24,25 Tex,milang
,8,8948.84,cm,1.5,g,37.42,cm,0.87,167 dTex,трилобал 
,9,8475.27,cm,2.12,g,35.44,cm,1.23,25 Tex,milang
,10,10549.18,cm,1.77,g,44.11,cm,1.02,167 dTex,3603
,11,8899.85,cm,2.23,g,37.21,cm,1.29,25 Tex,milang
,12,9177.46,cm,1.54,g,38.37,cm,0.89,167 dTex,трилобал 
,13,8344.63,cm,2.09,g,34.89,cm,1.21,25 Tex,milang
,14,10483.87,cm,1.76,g,43.83,cm,1.02,167 dTex,3603
,15,8997.84,cm,2.25,g,37.62,cm,1.31,25 Tex,milang
,16,9144.8,cm,1.53,g,38.24,cm,0.89,167 dTex,трилобал 
,17,8018.03,cm,2.01,g,33.53,cm,1.17,25 Tex,milang
,18,10679.83,cm,1.79,g,44.65,cm,1.04,167 dTex,3603
,19,8328.3,cm,2.09,g,34.82,cm,1.21,25 Tex,milang
,20,9030.5,cm,1.51,g,37.76,cm,0.88,167 dTex,трилобал 
