<FileName>Galaxy Светлый 1600 оборотов 49.02кг</FileName>
LGL KNITTING 10.72  Java Bit: 64 @169.254.0.1 NEWKYC003615@---	20260129_13-21-57
Revolution,1600
Needles,2392
Consumption,28225.09,g
Consumption,1.36990528E8,cm
Product group
25 Tex,milang,6.4429672E7,cm,47.04,%cm,16107.42,g,57.07,%g,36.6,cm,av100ndl,
167 dTex,3603,3.8469236E7,cm,28.09,%cm,6424.37,g,22.77,%g,43.71,cm,av100ndl,
167 dTex,трилобал ,3.4091616E7,cm,24.89,%cm,5693.31,g,20.18,%g,38.73,cm,av100ndl,

 ,Feeder,Consumption,cm-in,Consumption,g-lb,Consumption 100 nl,cm-in,% Feeder g-lb,Count,Type
,1,1464213.1,cm,366.06,g,38.26,cm,1.3,25 Tex,milang
,2,1727485.4,cm,288.5,g,45.14,cm,1.03,167 dTex,3603
,3,1392818.4,cm,348.21,g,36.4,cm,1.24,25 Tex,milang
,4,1490553.4,cm,248.93,g,38.95,cm,0.89,167 dTex,трилобал 
,5,1407450.0,cm,351.87,g,36.78,cm,1.25,25 Tex,milang
,6,1698793.5,cm,283.7,g,44.39,cm,1.01,167 dTex,3603
,7,1386433.4,cm,346.61,g,36.23,cm,1.23,25 Tex,milang
,8,1474582.6,cm,246.26,g,38.53,cm,0.88,167 dTex,трилобал 
,9,1384898.2,cm,346.23,g,36.19,cm,1.23,25 Tex,milang
,10,1714748.0,cm,286.37,g,44.81,cm,1.02,167 dTex,3603
,11,1444012.9,cm,361.01,g,37.74,cm,1.28,25 Tex,milang
,12,1521580.4,cm,254.11,g,39.76,cm,0.91,167 dTex,трилобал 
,13,1365384.0,cm,341.35,g,35.68,cm,1.21,25 Tex,milang
,14,1712298.5,cm,285.96,g,44.75,cm,1.02,167 dTex,3603
,15,1457027.9,cm,364.26,g,38.08,cm,1.3,25 Tex,milang
,16,1507634.6,cm,251.78,g,39.4,cm,0.9,167 dTex,трилобал 
,17,1335941.0,cm,333.99,g,34.91,cm,1.19,25 Tex,milang
,18,1734866.5,cm,289.73,g,45.33,cm,1.03,167 dTex,3603
,19,1354361.2,cm,338.6,g,35.39,cm,1.2,25 Tex,milang
,20,1488414.1,cm,248.57,g,38.9,cm,0.89,167 dTex,трилобал 
,21,1397472.4,cm,349.37,g,36.52,cm,1.24,25 Tex,milang
,22,1700410.2,cm,283.97,g,44.43,cm,1.01,167 dTex,3603
,23,1411973.5,cm,353.0,g,36.9,cm,1.26,25 Tex,milang
,24,1416333.5,cm,236.53,g,37.01,cm,0.84,167 dTex,трилобал 
,25,1333213.9,cm,333.31,g,34.84,cm,1.19,25 Tex,milang
,26,1608162.0,cm,268.57,g,42.02,cm,0.96,167 dTex,3603
,27,1475301.1,cm,368.83,g,38.55,cm,1.31,25 Tex,milang
,28,1523295.0,cm,254.4,g,39.81,cm,0.91,167 dTex,трилобал 
,29,1413116.5,cm,353.28,g,36.93,cm,1.26,25 Tex,milang
,30,1658850.4,cm,277.03,g,43.35,cm,0.99,167 dTex,3603
,31,1418619.8,cm,354.66,g,37.07,cm,1.26,25 Tex,milang
,32,1450855.1,cm,242.3,g,37.91,cm,0.86,167 dTex,трилобал 
,33,1364224.5,cm,341.06,g,35.65,cm,1.21,25 Tex,milang
,34,1642177.5,cm,274.25,g,42.91,cm,0.98,167 dTex,3603
,35,1410585.4,cm,352.65,g,36.86,cm,1.25,25 Tex,milang
,36,1479416.4,cm,247.07,g,38.66,cm,0.88,167 dTex,трилобал 
,37,1393553.2,cm,348.39,g,36.42,cm,1.24,25 Tex,milang
