<FileName>LuxWhite 2300 оборотов 41,3кг</FileName>
LGL KNITTING 10.72  Java Bit: 64 @169.254.0.1 NEWKYC003699@---	20260130_12-26-33
Revolution,2300
Needles,2392
Consumption,30280.37,g
Consumption,1.81580704E8,cm
Product group
150 den,Nit 150,1.30837088E8,cm,72.06,%cm,21806.19,g,72.02,%g,34.47,cm,av100ndl,
167 dTex,трилобал ,5.0743584E7,cm,27.95,%cm,8474.18,g,27.99,%g,40.11,cm,av100ndl,

 ,Feeder,Consumption,cm-in,Consumption,g-lb,Consumption 100 nl,cm-in,% Feeder g-lb,Count,Type
,1,1625684.1,cm,270.95,g,29.55,cm,0.9,150 den,Nit 150
,2,2229845.2,cm,371.65,g,40.54,cm,1.23,150 den,Nit 150
,3,1673024.9,cm,278.84,g,30.41,cm,0.93,150 den,Nit 150
,4,2274981.2,cm,379.93,g,41.36,cm,1.26,167 dTex,трилобал 
,5,1711743.2,cm,285.3,g,31.12,cm,0.95,150 den,Nit 150
,6,2326535.0,cm,387.76,g,42.29,cm,1.29,150 den,Nit 150
,7,1709800.0,cm,284.97,g,31.08,cm,0.95,150 den,Nit 150
,8,2198654.8,cm,367.18,g,39.97,cm,1.22,167 dTex,трилобал 
,9,1678789.2,cm,279.8,g,30.52,cm,0.93,150 den,Nit 150
,10,2397031.8,cm,399.51,g,43.57,cm,1.32,150 den,Nit 150
,11,1660369.1,cm,276.73,g,30.18,cm,0.92,150 den,Nit 150
,12,2266359.0,cm,378.49,g,41.2,cm,1.25,167 dTex,трилобал 
,13,1622303.9,cm,270.39,g,29.49,cm,0.9,150 den,Nit 150
,14,2184317.0,cm,364.06,g,39.71,cm,1.21,150 den,Nit 150
,15,1687525.9,cm,281.26,g,30.68,cm,0.93,150 den,Nit 150
,16,2230612.8,cm,372.52,g,40.55,cm,1.24,167 dTex,трилобал 
,17,1659487.2,cm,276.59,g,30.17,cm,0.92,150 den,Nit 150
,18,2289727.2,cm,381.63,g,41.62,cm,1.27,150 den,Nit 150
,19,1694662.1,cm,282.45,g,30.81,cm,0.94,150 den,Nit 150
,20,2135180.2,cm,356.58,g,38.82,cm,1.18,167 dTex,трилобал 
,21,1663912.6,cm,277.32,g,30.25,cm,0.92,150 den,Nit 150
,22,2188987.5,cm,364.84,g,39.79,cm,1.21,150 den,Nit 150
,23,1702614.8,cm,283.77,g,30.95,cm,0.94,150 den,Nit 150
,24,2262472.5,cm,377.84,g,41.13,cm,1.25,167 dTex,трилобал 
,25,1639613.6,cm,273.27,g,29.81,cm,0.91,150 den,Nit 150
,26,2304081.2,cm,384.02,g,41.89,cm,1.27,150 den,Nit 150
,27,1782762.4,cm,297.13,g,32.41,cm,0.99,150 den,Nit 150
,28,2300946.0,cm,384.26,g,41.83,cm,1.27,167 dTex,трилобал 
,29,1666264.2,cm,277.72,g,30.29,cm,0.92,150 den,Nit 150
,30,2311331.8,cm,385.23,g,42.02,cm,1.28,150 den,Nit 150
,31,1772441.9,cm,295.41,g,32.22,cm,0.98,150 den,Nit 150
,32,2160883.5,cm,360.87,g,39.28,cm,1.2,167 dTex,трилобал 
,33,1664614.9,cm,277.44,g,30.26,cm,0.92,150 den,Nit 150
,34,2239235.0,cm,373.21,g,40.71,cm,1.24,150 den,Nit 150
,35,1635188.2,cm,272.54,g,29.73,cm,0.91,150 den,Nit 150
,36,2163545.2,cm,361.32,g,39.33,cm,1.2,167 dTex,трилобал 
,37,1723990.8,cm,287.34,g,31.34,cm,0.95,150 den,Nit 150
,38,2508010.5,cm,418.01,g,45.59,cm,1.39,150 den,Nit 150
,39,1714127.4,cm,285.69,g,31.16,cm,0.95,150 den,Nit 150
,40,2372471.5,cm,396.21,g,43.13,cm,1.31,167 dTex,трилобал 
,41,1687199.2,cm,281.2,g,30.67,cm,0.93,150 den,Nit 150
,42,2380473.0,cm,396.75,g,43.27,cm,1.32,150 den,Nit 150
,43,1686088.9,cm,281.02,g,30.65,cm,0.93,150 den,Nit 150
,44,2270049.5,cm,379.1,g,41.27,cm,1.26,167 dTex,трилобал 
,45,1653200.2,cm,275.54,g,30.05,cm,0.91,150 den,Nit 150
,46,2387462.2,cm,397.92,g,43.4,cm,1.32,150 den,Nit 150
,47,1649917.9,cm,274.99,g,29.99,cm,0.91,150 den,Nit 150
,48,2034260.8,cm,339.73,g,36.98,cm,1.13,167 dTex,трилобал 
,49,1693535.2,cm,282.26,g,30.79,cm,0.94,150 den,Nit 150
,50,2397685.0,cm,399.62,g,43.59,cm,1.32,150 den,Nit 150
,51,1670363.0,cm,278.4,g,30.37,cm,0.92,150 den,Nit 150
,52,2245587.2,cm,375.02,g,40.82,cm,1.24,167 dTex,трилобал 
,53,1650260.8,cm,275.05,g,30.0,cm,0.91,150 den,Nit 150
,54,2244836.0,cm,374.14,g,40.81,cm,1.24,150 den,Nit 150
,55,1676633.8,cm,279.44,g,30.48,cm,0.93,150 den,Nit 150
,56,2162500.2,cm,361.14,g,39.31,cm,1.2,167 dTex,трилобал 
,57,1715515.5,cm,285.92,g,31.19,cm,0.95,150 den,Nit 150
,58,2381648.8,cm,396.95,g,43.3,cm,1.32,150 den,Nit 150
,59,1692163.6,cm,282.03,g,30.76,cm,0.94,150 den,Nit 150
,60,2124320.8,cm,354.77,g,38.62,cm,1.18,167 dTex,трилобал 
,61,1659258.6,cm,276.55,g,30.16,cm,0.92,150 den,Nit 150
,62,2350491.2,cm,391.75,g,42.73,cm,1.3,150 den,Nit 150
,63,1621699.6,cm,270.29,g,29.48,cm,0.9,150 den,Nit 150
,64,2183190.2,cm,364.6,g,39.69,cm,1.21,167 dTex,трилобал 
,65,1715482.9,cm,285.92,g,31.19,cm,0.95,150 den,Nit 150
,66,2294593.5,cm,382.44,g,41.71,cm,1.27,150 den,Nit 150
,67,1679050.6,cm,279.85,g,30.52,cm,0.93,150 den,Nit 150
,68,2106815.0,cm,351.84,g,38.3,cm,1.17,167 dTex,трилобал 
,69,1658148.2,cm,276.36,g,30.14,cm,0.92,150 den,Nit 150
,70,2284665.0,cm,380.78,g,41.53,cm,1.26,150 den,Nit 150
,71,1635874.1,cm,272.65,g,29.74,cm,0.91,150 den,Nit 150
,72,2159250.5,cm,360.6,g,39.25,cm,1.2,167 dTex,трилобал 
,73,1762235.6,cm,293.71,g,32.04,cm,0.97,150 den,Nit 150
,74,2306988.0,cm,384.5,g,41.94,cm,1.27,150 den,Nit 150
,75,1800480.5,cm,300.09,g,32.73,cm,1.0,150 den,Nit 150
,76,2092624.1,cm,349.47,g,38.04,cm,1.16,167 dTex,трилобал 
,77,1612162.9,cm,268.7,g,29.31,cm,0.89,150 den,Nit 150
,78,2318255.8,cm,386.38,g,42.14,cm,1.28,150 den,Nit 150
,79,1777226.5,cm,296.21,g,32.31,cm,0.98,150 den,Nit 150
,80,2287261.5,cm,381.98,g,41.58,cm,1.27,167 dTex,трилобал 
,81,1629423.8,cm,271.58,g,29.62,cm,0.9,150 den,Nit 150
,82,2275650.8,cm,379.28,g,41.37,cm,1.26,150 den,Nit 150
,83,1748355.1,cm,291.4,g,31.78,cm,0.97,150 den,Nit 150
,84,2290674.5,cm,382.55,g,41.64,cm,1.27,167 dTex,трилобал 
,85,1737544.6,cm,289.6,g,31.59,cm,0.96,150 den,Nit 150
,86,2331973.0,cm,388.67,g,42.39,cm,1.29,150 den,Nit 150
,87,1709424.4,cm,284.91,g,31.08,cm,0.95,150 den,Nit 150
,88,2150808.0,cm,359.19,g,39.1,cm,1.19,167 dTex,трилобал 
,89,1681467.4,cm,280.25,g,30.57,cm,0.93,150 den,Nit 150
,90,2236671.0,cm,372.78,g,40.66,cm,1.24,150 den,Nit 150
,91,1774989.4,cm,295.84,g,32.27,cm,0.98,150 den,Nit 150
,92,2270131.2,cm,379.12,g,41.27,cm,1.26,167 dTex,трилобал 
