<FileName>machine 3</FileName>
LGL KNITTING 10.72  Java Bit: 64 @169.254.0.1 NEWKYC003763@---	20260428_10-10-25
Revolution,10
Needles,2392
Consumption,144.29,g
Consumption,865718.6,cm
Product group
150 den,Nit 150,865718.6,cm,100.0,%cm,144.29,g,100.0,%g,39.34,cm,av100ndl,

 ,Feeder,Consumption,cm-in,Consumption,g-lb,Consumption 100 nl,cm-in,% Feeder g-lb,Count,Type
,1,7511.8,cm,1.26,g,31.41,cm,0.87,150 den,Nit 150
,2,11806.59,cm,1.97,g,49.36,cm,1.37,150 den,Nit 150
,3,6891.26,cm,1.15,g,28.81,cm,0.8,150 den,Nit 150
,4,11855.59,cm,1.98,g,49.57,cm,1.37,150 den,Nit 150
,5,7462.82,cm,1.25,g,31.2,cm,0.87,150 den,Nit 150
,6,12035.21,cm,2.01,g,50.32,cm,1.4,150 den,Nit 150
,7,7005.57,cm,1.17,g,29.29,cm,0.81,150 den,Nit 150
,8,11741.27,cm,1.96,g,49.09,cm,1.36,150 den,Nit 150
,9,7152.55,cm,1.2,g,29.91,cm,0.83,150 den,Nit 150
,10,11855.59,cm,1.98,g,49.57,cm,1.37,150 den,Nit 150
,11,6793.28,cm,1.14,g,28.4,cm,0.79,150 den,Nit 150
,12,11398.34,cm,1.9,g,47.66,cm,1.32,150 den,Nit 150
,13,7430.15,cm,1.24,g,31.07,cm,0.86,150 den,Nit 150
,14,11708.62,cm,1.96,g,48.95,cm,1.36,150 den,Nit 150
,15,6923.92,cm,1.16,g,28.95,cm,0.8,150 den,Nit 150
,16,12182.18,cm,2.04,g,50.93,cm,1.41,150 den,Nit 150
,17,7234.19,cm,1.21,g,30.25,cm,0.84,150 den,Nit 150
,18,11806.59,cm,1.97,g,49.36,cm,1.37,150 den,Nit 150
,19,6629.98,cm,1.11,g,27.72,cm,0.77,150 den,Nit 150
,20,11724.95,cm,1.96,g,49.02,cm,1.36,150 den,Nit 150
,21,7283.19,cm,1.22,g,30.45,cm,0.85,150 den,Nit 150
,22,11659.63,cm,1.95,g,48.75,cm,1.35,150 den,Nit 150
,23,7479.15,cm,1.25,g,31.27,cm,0.87,150 den,Nit 150
,24,11431.0,cm,1.91,g,47.79,cm,1.33,150 den,Nit 150
,25,6891.26,cm,1.15,g,28.81,cm,0.8,150 den,Nit 150
,26,11839.25,cm,1.98,g,49.5,cm,1.37,150 den,Nit 150
,27,6368.71,cm,1.07,g,26.63,cm,0.74,150 den,Nit 150
,28,11594.3,cm,1.94,g,48.48,cm,1.34,150 den,Nit 150
,29,7413.82,cm,1.24,g,31.0,cm,0.86,150 den,Nit 150
,30,11741.27,cm,1.96,g,49.09,cm,1.36,150 den,Nit 150
,31,7103.55,cm,1.19,g,29.7,cm,0.83,150 den,Nit 150
,32,11757.6,cm,1.96,g,49.16,cm,1.36,150 den,Nit 150
,33,7250.53,cm,1.21,g,30.32,cm,0.84,150 den,Nit 150
