<FileName>mashina 2</FileName>
LGL KNITTING 10.72  Java Bit: 64 @169.254.0.1 NEWKYC003699@---	20260421_16-24-39
Revolution,10
Needles,2392
Consumption,144.99,g
Consumption,869931.7,cm
Product group
150 den,Nit 150,869931.7,cm,100.0,%cm,144.99,g,100.0,%g,39.54,cm,av100ndl,

 ,Feeder,Consumption,cm-in,Consumption,g-lb,Consumption 100 nl,cm-in,% Feeder g-lb,Count,Type
,1,7560.8,cm,1.27,g,31.61,cm,0.87,150 den,Nit 150
,2,11251.38,cm,1.88,g,47.04,cm,1.3,150 den,Nit 150
,3,7250.53,cm,1.21,g,30.32,cm,0.84,150 den,Nit 150
,4,11659.63,cm,1.95,g,48.75,cm,1.35,150 den,Nit 150
,5,7593.46,cm,1.27,g,31.75,cm,0.88,150 den,Nit 150
,6,11675.96,cm,1.95,g,48.82,cm,1.35,150 den,Nit 150
,7,7168.88,cm,1.2,g,29.98,cm,0.83,150 den,Nit 150
,8,11871.92,cm,1.98,g,49.64,cm,1.37,150 den,Nit 150
,9,7446.48,cm,1.25,g,31.14,cm,0.86,150 den,Nit 150
,10,11986.22,cm,2.0,g,50.11,cm,1.38,150 den,Nit 150
,11,6989.24,cm,1.17,g,29.22,cm,0.81,150 den,Nit 150
,12,11871.92,cm,1.98,g,49.64,cm,1.37,150 den,Nit 150
,13,7577.13,cm,1.27,g,31.68,cm,0.88,150 den,Nit 150
,14,11382.01,cm,1.9,g,47.59,cm,1.31,150 den,Nit 150
,15,7136.21,cm,1.19,g,29.84,cm,0.83,150 den,Nit 150
,16,11822.92,cm,1.98,g,49.43,cm,1.36,150 den,Nit 150
,17,7462.82,cm,1.25,g,31.2,cm,0.86,150 den,Nit 150
,18,11659.63,cm,1.95,g,48.75,cm,1.35,150 den,Nit 150
,19,7217.86,cm,1.21,g,30.18,cm,0.83,150 den,Nit 150
,20,11300.37,cm,1.89,g,47.25,cm,1.3,150 den,Nit 150
,21,7397.49,cm,1.24,g,30.93,cm,0.86,150 den,Nit 150
,22,11496.33,cm,1.92,g,48.07,cm,1.33,150 den,Nit 150
,23,7168.88,cm,1.2,g,29.98,cm,0.83,150 den,Nit 150
,24,11773.93,cm,1.97,g,49.23,cm,1.36,150 den,Nit 150
,25,7446.48,cm,1.25,g,31.14,cm,0.86,150 den,Nit 150
,26,11528.98,cm,1.93,g,48.2,cm,1.33,150 den,Nit 150
,27,7446.48,cm,1.25,g,31.14,cm,0.86,150 den,Nit 150
,28,11414.67,cm,1.91,g,47.73,cm,1.32,150 den,Nit 150
,29,7364.84,cm,1.23,g,30.79,cm,0.85,150 den,Nit 150
,30,12051.55,cm,2.01,g,50.39,cm,1.39,150 den,Nit 150
,31,7364.84,cm,1.23,g,30.79,cm,0.85,150 den,Nit 150
,32,11463.67,cm,1.92,g,47.93,cm,1.32,150 den,Nit 150
,33,7593.46,cm,1.27,g,31.75,cm,0.88,150 den,Nit 150
,34,11724.95,cm,1.96,g,49.02,cm,1.35,150 den,Nit 150
,35,6891.26,cm,1.15,g,28.81,cm,0.8,150 den,Nit 150
,36,11855.59,cm,1.98,g,49.57,cm,1.37,150 den,Nit 150
,37,7740.42,cm,1.3,g,32.36,cm,0.89,150 den,Nit 150
,38,11724.95,cm,1.96,g,49.02,cm,1.35,150 den,Nit 150
,39,7348.5,cm,1.23,g,30.73,cm,0.85,150 den,Nit 150
,40,11104.41,cm,1.86,g,46.43,cm,1.28,150 den,Nit 150
,41,7544.46,cm,1.26,g,31.55,cm,0.87,150 den,Nit 150
,42,11545.31,cm,1.93,g,48.27,cm,1.33,150 den,Nit 150
,43,7136.21,cm,1.19,g,29.84,cm,0.83,150 den,Nit 150
,44,11398.34,cm,1.9,g,47.66,cm,1.32,150 den,Nit 150
,45,7070.9,cm,1.18,g,29.57,cm,0.82,150 den,Nit 150
,46,11643.3,cm,1.95,g,48.68,cm,1.34,150 den,Nit 150
,47,6727.96,cm,1.13,g,28.13,cm,0.78,150 den,Nit 150
,48,11545.31,cm,1.93,g,48.27,cm,1.33,150 den,Nit 150
,49,7397.49,cm,1.24,g,30.93,cm,0.86,150 den,Nit 150
,50,11594.3,cm,1.94,g,48.48,cm,1.34,150 den,Nit 150
,51,6891.26,cm,1.15,g,28.81,cm,0.8,150 den,Nit 150
,52,12100.54,cm,2.02,g,50.59,cm,1.4,150 den,Nit 150
,53,7430.15,cm,1.24,g,31.07,cm,0.86,150 den,Nit 150
,54,11528.98,cm,1.93,g,48.2,cm,1.33,150 den,Nit 150
,55,7152.55,cm,1.2,g,29.91,cm,0.83,150 den,Nit 150
,56,11659.63,cm,1.95,g,48.75,cm,1.35,150 den,Nit 150
,57,7658.78,cm,1.28,g,32.02,cm,0.89,150 den,Nit 150
,58,11741.27,cm,1.96,g,49.09,cm,1.35,150 den,Nit 150
,59,7299.51,cm,1.22,g,30.52,cm,0.84,150 den,Nit 150
,60,11741.27,cm,1.96,g,49.09,cm,1.35,150 den,Nit 150
,61,7397.49,cm,1.24,g,30.93,cm,0.86,150 den,Nit 150
,62,11773.93,cm,1.97,g,49.23,cm,1.36,150 den,Nit 150
,63,7005.57,cm,1.17,g,29.29,cm,0.81,150 den,Nit 150
,64,11169.72,cm,1.87,g,46.7,cm,1.29,150 den,Nit 150
,65,7560.8,cm,1.27,g,31.61,cm,0.87,150 den,Nit 150
,66,11888.25,cm,1.99,g,49.71,cm,1.37,150 den,Nit 150
,67,7544.46,cm,1.26,g,31.55,cm,0.87,150 den,Nit 150
,68,10908.45,cm,1.82,g,45.61,cm,1.26,150 den,Nit 150
,69,7691.44,cm,1.29,g,32.16,cm,0.89,150 den,Nit 150
,70,11382.01,cm,1.9,g,47.59,cm,1.31,150 den,Nit 150
,71,7021.9,cm,1.18,g,29.36,cm,0.81,150 den,Nit 150
,72,11218.71,cm,1.87,g,46.91,cm,1.29,150 den,Nit 150
,73,8132.34,cm,1.36,g,34.0,cm,0.94,150 den,Nit 150
,74,11724.95,cm,1.96,g,49.02,cm,1.35,150 den,Nit 150
,75,7136.21,cm,1.19,g,29.84,cm,0.83,150 den,Nit 150
,76,11267.71,cm,1.88,g,47.11,cm,1.3,150 den,Nit 150
,77,7038.23,cm,1.18,g,29.43,cm,0.81,150 den,Nit 150
,78,11153.39,cm,1.86,g,46.63,cm,1.29,150 den,Nit 150
,79,7038.23,cm,1.18,g,29.43,cm,0.81,150 den,Nit 150
,80,11545.31,cm,1.93,g,48.27,cm,1.33,150 den,Nit 150
,81,7544.46,cm,1.26,g,31.55,cm,0.87,150 den,Nit 150
,82,11904.58,cm,1.99,g,49.77,cm,1.37,150 den,Nit 150
,83,7315.84,cm,1.22,g,30.59,cm,0.85,150 den,Nit 150
,84,11349.35,cm,1.9,g,47.45,cm,1.31,150 den,Nit 150
,85,7871.07,cm,1.32,g,32.91,cm,0.91,150 den,Nit 150
,86,11577.97,cm,1.93,g,48.41,cm,1.34,150 den,Nit 150
,87,7446.48,cm,1.25,g,31.14,cm,0.86,150 den,Nit 150
,88,11169.72,cm,1.87,g,46.7,cm,1.29,150 den,Nit 150
,89,7413.82,cm,1.24,g,31.0,cm,0.86,150 den,Nit 150
,90,11545.31,cm,1.93,g,48.27,cm,1.33,150 den,Nit 150
,91,6956.59,cm,1.16,g,29.09,cm,0.8,150 den,Nit 150
,92,11643.3,cm,1.95,g,48.68,cm,1.34,150 den,Nit 150
