<FileName>mashine 1</FileName>
LGL KNITTING 10.72  Java Bit: 64 @169.254.0.1 NEWKYC003615@---	20260421_16-18-08
Revolution,10
Needles,2392
Consumption,124.3,g
Consumption,745382.94,cm
Product group
150 den,Nit 150,551186.5,cm,73.95,%cm,91.87,g,73.91,%g,33.4,cm,av100ndl,
167 dTex,трилобал ,194196.34,cm,26.06,%cm,32.44,g,26.1,%g,35.3,cm,av100ndl,

 ,Feeder,Consumption,cm-in,Consumption,g-lb,Consumption 100 nl,cm-in,% Feeder g-lb,Count,Type
,1,7283.19,cm,1.22,g,30.45,cm,0.98,150 den,Nit 150
,2,9814.34,cm,1.64,g,41.03,cm,1.32,150 den,Nit 150
,3,6874.94,cm,1.15,g,28.75,cm,0.93,150 den,Nit 150
,4,8867.2,cm,1.49,g,37.08,cm,1.2,167 dTex,трилобал 
,5,7250.53,cm,1.21,g,30.32,cm,0.98,150 den,Nit 150
,6,9781.67,cm,1.64,g,40.9,cm,1.32,150 den,Nit 150
,7,7185.21,cm,1.2,g,30.04,cm,0.97,150 den,Nit 150
,8,8295.64,cm,1.39,g,34.69,cm,1.12,167 dTex,трилобал 
,9,7119.88,cm,1.19,g,29.77,cm,0.96,150 den,Nit 150
,10,9879.66,cm,1.65,g,41.31,cm,1.33,150 den,Nit 150
,11,7250.53,cm,1.21,g,30.32,cm,0.98,150 den,Nit 150
,12,8654.91,cm,1.45,g,36.19,cm,1.17,167 dTex,трилобал 
,13,6972.92,cm,1.17,g,29.16,cm,0.94,150 den,Nit 150
,14,9912.31,cm,1.66,g,41.44,cm,1.33,150 den,Nit 150
,15,7168.88,cm,1.2,g,29.98,cm,0.97,150 den,Nit 150
,16,9063.16,cm,1.52,g,37.89,cm,1.22,167 dTex,трилобал 
,17,6972.92,cm,1.17,g,29.16,cm,0.94,150 den,Nit 150
,18,9961.3,cm,1.67,g,41.65,cm,1.34,150 den,Nit 150
,19,7005.57,cm,1.17,g,29.29,cm,0.94,150 den,Nit 150
,20,8752.88,cm,1.47,g,36.6,cm,1.18,167 dTex,трилобал 
,21,6989.24,cm,1.17,g,29.22,cm,0.94,150 den,Nit 150
,22,9847.0,cm,1.65,g,41.17,cm,1.33,150 den,Nit 150
,23,7315.84,cm,1.22,g,30.59,cm,0.99,150 den,Nit 150
,24,8034.36,cm,1.35,g,33.59,cm,1.08,167 dTex,трилобал 
,25,7103.55,cm,1.19,g,29.7,cm,0.96,150 den,Nit 150
,26,9455.08,cm,1.58,g,39.53,cm,1.27,150 den,Nit 150
,27,7446.48,cm,1.25,g,31.14,cm,1.0,150 den,Nit 150
